HS2,HS2 Description,Country of Origin,Rank,Port of Entry,BaselineShare,BaselineSharePct
33,Personal care and cleaning,France,10,"Chicago, IL",0.010274857699924467,1.0274857699924467
33,Personal care and cleaning,Germany,1,"New York City, NY",0.5052004369655075,50.52004369655075
33,Personal care and cleaning,Germany,2,"Chicago, IL",0.1094805580700654,10.94805580700654
33,Personal care and cleaning,Germany,3,"Cleveland, OH",0.09258393871428064,9.258393871428064
33,Personal care and cleaning,Germany,4,"Los Angeles, CA",0.059876217329447395,5.987621732944739
33,Personal care and cleaning,Germany,5,"Wilmington, NC",0.053362085553114315,5.336208555311432
33,Personal care and cleaning,Germany,6,"Baltimore, MD",0.0513407974743917,5.13407974743917
33,Personal care and cleaning,Germany,7,"Miami, FL",0.033330341789536165,3.3330341789536164
33,Personal care and cleaning,Germany,8,"Philadelphia, PA",0.032557602310409155,3.2557602310409153
33,Personal care and cleaning,Germany,9,"New Orleans, LA",0.032556783269588906,3.2556783269588907
33,Personal care and cleaning,Germany,10,"Savannah, GA",0.02971123852365879,2.971123852365879
33,Personal care and cleaning,Greece,1,"New York City, NY",0.6171508130586075,61.71508130586075
33,Personal care and cleaning,Greece,2,"Savannah, GA",0.11189403075141113,11.189403075141113
33,Personal care and cleaning,Greece,3,"Cleveland, OH",0.06405106921018636,6.4051069210186355
33,Personal care and cleaning,Greece,4,"Baltimore, MD",0.04737102931689113,4.737102931689114
33,Personal care and cleaning,Greece,5,"Miami, FL",0.04615651610515009,4.615651610515009
33,Personal care and cleaning,Greece,6,"Los Angeles, CA",0.04363711825553557,4.3637118255535565
33,Personal care and cleaning,Greece,7,"Chicago, IL",0.035677922050286706,3.567792205028671
33,Personal care and cleaning,Greece,8,"Houston-Galveston, TX",0.012892341175017783,1.2892341175017783
33,Personal care and cleaning,Greece,9,"Charleston, SC",0.010788410099584166,1.0788410099584165
33,Personal care and cleaning,Greece,10,"Norfolk, VA",0.010380749977329594,1.0380749977329593
33,Personal care and cleaning,India,1,"New York City, NY",0.5293738421789927,52.93738421789927
33,Personal care and cleaning,India,2,"Chicago, IL",0.07198460507872506,7.198460507872506
33,Personal care and cleaning,India,3,"Savannah, GA",0.06746728887880953,6.746728887880953
33,Personal care and cleaning,India,4,"Cleveland, OH",0.05979262614475267,5.979262614475267
33,Personal care and cleaning,India,5,"Baltimore, MD",0.05750371601956841,5.750371601956841
33,Personal care and cleaning,India,6,"Los Angeles, CA",0.05194730584366323,5.194730584366323
33,Personal care and cleaning,India,7,"Seattle, WA",0.05166642524155413,5.166642524155414
33,Personal care and cleaning,India,8,"Houston-Galveston, TX",0.04009206016762618,4.009206016762619
33,Personal care and cleaning,India,9,"Miami, FL",0.03561529597613491,3.561529597613491
33,Personal care and cleaning,India,10,"New Orleans, LA",0.03455683447017309,3.455683447017309
33,Personal care and cleaning,Indonesia,1,"New York City, NY",0.7650649641271499,76.50649641271498
33,Personal care and cleaning,Indonesia,2,"Los Angeles, CA",0.1586105671100336,15.86105671100336
33,Personal care and cleaning,Indonesia,3,"Cleveland, OH",0.026993365056249576,2.6993365056249576
33,Personal care and cleaning,Indonesia,4,"Great Falls, MT",0.011019625788181268,1.1019625788181269
33,Personal care and cleaning,Indonesia,5,"Nogales, AZ",0.009659727453382082,0.9659727453382082
33,Personal care and cleaning,Indonesia,6,"San Francisco, CA",0.006843503924865826,0.6843503924865826
33,Personal care and cleaning,Indonesia,7,"Savannah, GA",0.006282680802699526,0.6282680802699526
33,Personal care and cleaning,Indonesia,8,"Houston-Galveston, TX",0.005298321161349259,0.529832116134926
33,Personal care and cleaning,Indonesia,9,"Wilmington, NC",0.005230438573620069,0.523043857362007
33,Personal care and cleaning,Indonesia,10,"New Orleans, LA",0.004996806002468927,0.49968060024689276
33,Personal care and cleaning,Ireland,1,"Philadelphia, PA",0.30130672722353996,30.130672722353996
33,Personal care and cleaning,Ireland,2,"Houston-Galveston, TX",0.22088922998126084,22.088922998126083
33,Personal care and cleaning,Ireland,3,"Savannah, GA",0.12980650295784785,12.980650295784784
33,Personal care and cleaning,Ireland,4,"St. Louis, MO",0.12774291636367152,12.774291636367153
33,Personal care and cleaning,Ireland,5,"Wilmington, NC",0.11813205832954914,11.813205832954914
33,Personal care and cleaning,Ireland,6,"Charleston, SC",0.04300927523683706,4.300927523683706
33,Personal care and cleaning,Ireland,7,"Detroit, MI",0.0172763054510397,1.7276305451039702
33,Personal care and cleaning,Ireland,8,"Chicago, IL",0.01548978699063452,1.548978699063452
33,Personal care and cleaning,Ireland,9,"New York City, NY",0.014976186491293243,1.4976186491293242
33,Personal care and cleaning,Ireland,10,"Baltimore, MD",0.011371010974326171,1.137101097432617
33,Personal care and cleaning,Israel,1,"New York City, NY",0.7998450762011423,79.98450762011423
33,Personal care and cleaning,Israel,2,"Miami, FL",0.06879511462780581,6.879511462780581
33,Personal care and cleaning,Israel,3,"Savannah, GA",0.046827955833854094,4.68279558338541
33,Personal care and cleaning,Israel,4,"Los Angeles, CA",0.029413621116799595,2.9413621116799593
33,Personal care and cleaning,Israel,5,"Charleston, SC",0.01402115314520837,1.402115314520837
33,Personal care and cleaning,Israel,6,"Great Falls, MT",0.010434885775154328,1.0434885775154328
33,Personal care and cleaning,Israel,7,"Houston-Galveston, TX",0.008818987192053653,0.8818987192053653
33,Personal care and cleaning,Israel,8,"Ogdensburg, NY",0.008554938295402178,0.8554938295402178
33,Personal care and cleaning,Israel,9,"New Orleans, LA",0.0073416970547899125,0.7341697054789913
33,Personal care and cleaning,Israel,10,"Cleveland, OH",0.005946570757789815,0.5946570757789815
33,Personal care and cleaning,Italy,1,"New York City, NY",0.6815476884931881,68.15476884931881
33,Personal care and cleaning,Italy,2,"Miami, FL",0.10057323584109805,10.057323584109804
33,Personal care and cleaning,Italy,3,"Los Angeles, CA",0.05787260942323511,5.7872609423235115
33,Personal care and cleaning,Italy,4,"Dallas-Fort Worth, TX",0.04136532567661141,4.136532567661141
33,Personal care and cleaning,Italy,5,"Cleveland, OH",0.028842416129383576,2.8842416129383577
33,Personal care and cleaning,Italy,6,"Wilmington, NC",0.023116784073593275,2.3116784073593277
33,Personal care and cleaning,Italy,7,"Chicago, IL",0.02283621613773528,2.283621613773528
33,Personal care and cleaning,Italy,8,"Tampa, FL",0.01786969085219961,1.786969085219961
33,Personal care and cleaning,Italy,9,"Buffalo, NY",0.013579843737841484,1.3579843737841484
33,Personal care and cleaning,Italy,10,"Houston-Galveston, TX",0.012396189635114152,1.2396189635114152
33,Personal care and cleaning,Japan,1,"New York City, NY",0.39352178882614786,39.35217888261479
33,Personal care and cleaning,Japan,2,"Los Angeles, CA",0.34180417990471534,34.18041799047153
33,Personal care and cleaning,Japan,3,"Cleveland, OH",0.18894941542685934,18.894941542685935
33,Personal care and cleaning,Japan,4,"Chicago, IL",0.022852410306980583,2.2852410306980584
33,Personal care and cleaning,Japan,5,"Baltimore, MD",0.01371075204511996,1.371075204511996
33,Personal care and cleaning,Japan,6,"San Francisco, CA",0.013537628202266524,1.3537628202266525
33,Personal care and cleaning,Japan,7,"New Orleans, LA",0.009109738001110654,0.9109738001110654
33,Personal care and cleaning,Japan,8,"Buffalo, NY",0.006134468431262397,0.6134468431262396
33,Personal care and cleaning,Japan,9,"Miami, FL",0.005604967565664844,0.5604967565664843
33,Personal care and cleaning,Japan,10,"Great Falls, MT",0.004774651289872374,0.47746512898723736
33,Personal care and cleaning,"Korea, South",1,"Los Angeles, CA",0.6511431400162049,65.11431400162049
33,Personal care and cleaning,"Korea, South",2,"New York City, NY",0.20943864675590926,20.943864675590927
33,Personal care and cleaning,"Korea, South",3,"Chicago, IL",0.0295431968021095,2.95431968021095
33,Personal care and cleaning,"Korea, South",4,"Cleveland, OH",0.028375781865928477,2.8375781865928476
33,Personal care and cleaning,"Korea, South",5,"Houston-Galveston, TX",0.016664350702957558,1.6664350702957558
33,Personal care and cleaning,"Korea, South",6,"New Orleans, LA",0.01587822077344438,1.587822077344438
33,Personal care and cleaning,"Korea, South",7,"Savannah, GA",0.015583432539739145,1.5583432539739146
33,Personal care and cleaning,"Korea, South",8,"Seattle, WA",0.013250190312851186,1.3250190312851187
33,Personal care and cleaning,"Korea, South",9,"Dallas-Fort Worth, TX",0.011639443331675244,1.1639443331675243
33,Personal care and cleaning,"Korea, South",10,"San Francisco, CA",0.008483596899180332,0.8483596899180332
33,Personal care and cleaning,Mexico,1,"Laredo, TX",0.7253666357676256,72.53666357676256
33,Personal care and cleaning,Mexico,2,"El Paso, TX",0.10500344363855149,10.500344363855149
33,Personal care and cleaning,Mexico,3,"Nogales, AZ",0.06629885472244103,6.629885472244103
33,Personal care and cleaning,Mexico,4,"San Diego, CA",0.05066987719330445,5.066987719330445
33,Personal care and cleaning,Mexico,5,"Tampa, FL",0.032647642763416626,3.2647642763416624
33,Personal care and cleaning,Mexico,6,"Miami, FL",0.010087235712614294,1.0087235712614293
33,Personal care and cleaning,Mexico,7,"New York City, NY",0.007049476429149827,0.7049476429149827
33,Personal care and cleaning,Mexico,8,"Buffalo, NY",0.0011384272490145382,0.11384272490145382
33,Personal care and cleaning,Mexico,9,"Savannah, GA",0.0009736720141166381,0.0973672014116638
33,Personal care and cleaning,Mexico,10,"Houston-Galveston, TX",0.0007647345097655355,0.07647345097655356
33,Personal care and cleaning,Spain,1,"New York City, NY",0.4230432003243205,42.30432003243205
33,Personal care and cleaning,Spain,2,"Wilmington, NC",0.18837310513744954,18.837310513744953
33,Personal care and cleaning,Spain,3,"Miami, FL",0.1472128738995243,14.721287389952431
33,Personal care and cleaning,Spain,4,"Norfolk, VA",0.08654916179370406,8.654916179370407
33,Personal care and cleaning,Spain,5,"Cleveland, OH",0.0496709044004314,4.9670904400431395
33,Personal care and cleaning,Spain,6,"Savannah, GA",0.023665715089308238,2.3665715089308237
33,Personal care and cleaning,Spain,7,"Los Angeles, CA",0.02299467164748175,2.299467164748175
33,Personal care and cleaning,Spain,8,"New Orleans, LA",0.022153444467149935,2.2153444467149934
33,Personal care and cleaning,Spain,9,"Houston-Galveston, TX",0.020386841397058618,2.038684139705862
33,Personal care and cleaning,Spain,10,"Baltimore, MD",0.015950081843571672,1.5950081843571673
33,Personal care and cleaning,Sweden,1,"Dallas-Fort Worth, TX",0.4759996228847032,47.59996228847032
33,Personal care and cleaning,Sweden,2,"Houston-Galveston, TX",0.43940496550684355,43.94049655068436
33,Personal care and cleaning,Sweden,3,"Wilmington, NC",0.029452820994461837,2.9452820994461835
33,Personal care and cleaning,Sweden,4,"New York City, NY",0.014579361168065486,1.4579361168065486
33,Personal care and cleaning,Sweden,5,"Portland, ME",0.012566983162617505,1.2566983162617504
33,Personal care and cleaning,Sweden,6,"Los Angeles, CA",0.01227856621270362,1.2278566212703619
33,Personal care and cleaning,Sweden,7,"St. Louis, MO",0.008820049271826785,0.8820049271826785
33,Personal care and cleaning,Sweden,8,"Philadelphia, PA",0.002904031169150741,0.2904031169150741
33,Personal care and cleaning,Sweden,9,"Boston, MA",0.0022840732026523564,0.22840732026523564
33,Personal care and cleaning,Sweden,10,"Norfolk, VA",0.0017095264269748798,0.17095264269748797
33,Personal care and cleaning,Switzerland,1,"New York City, NY",0.652940932868998,65.2940932868998
33,Personal care and cleaning,Switzerland,2,"Mobile, AL",0.09567898408366536,9.567898408366537
33,Personal care and cleaning,Switzerland,3,"Chicago, IL",0.0878985572249689,8.78985572249689
33,Personal care and cleaning,Switzerland,4,"Miami, FL",0.07776575327244813,7.776575327244813
33,Personal care and cleaning,Switzerland,5,"Cleveland, OH",0.022015610679063945,2.2015610679063946
33,Personal care and cleaning,Switzerland,6,"Los Angeles, CA",0.018316579277784444,1.8316579277784444
33,Personal care and cleaning,Switzerland,7,"Ogdensburg, NY",0.014917511790064869,1.4917511790064868
33,Personal care and cleaning,Switzerland,8,"Tampa, FL",0.012813012903236085,1.2813012903236085
33,Personal care and cleaning,Switzerland,9,"Norfolk, VA",0.012716313736457924,1.2716313736457925
33,Personal care and cleaning,Switzerland,10,"Savannah, GA",0.004936744163312207,0.4936744163312207
33,Personal care and cleaning,Thailand,1,"Los Angeles, CA",0.4193244048146346,41.93244048146346
33,Personal care and cleaning,Thailand,2,"New York City, NY",0.24128353415888854,24.128353415888853
33,Personal care and cleaning,Thailand,3,"New Orleans, LA",0.1410861126524024,14.10861126524024
33,Personal care and cleaning,Thailand,4,"San Francisco, CA",0.03999407967457988,3.999407967457988
33,Personal care and cleaning,Thailand,5,"Minneapolis, MN",0.03283032403496468,3.2830324034964677
33,Personal care and cleaning,Thailand,6,"Chicago, IL",0.03142123900766576,3.142123900766576
33,Personal care and cleaning,Thailand,7,"Savannah, GA",0.02846713007479569,2.8467130074795692
33,Personal care and cleaning,Thailand,8,"Wilmington, NC",0.023861343260349412,2.386134326034941
33,Personal care and cleaning,Thailand,9,"Cleveland, OH",0.022325800753679566,2.2325800753679568
33,Personal care and cleaning,Thailand,10,"Charleston, SC",0.019406031568039373,1.9406031568039372
33,Personal care and cleaning,United Arab Emirates,1,"New York City, NY",0.4907107635537153,49.07107635537153
33,Personal care and cleaning,United Arab Emirates,2,"Miami, FL",0.25235808991388325,25.235808991388325
33,Personal care and cleaning,United Arab Emirates,3,"Houston-Galveston, TX",0.1509249489671736,15.09249489671736
33,Personal care and cleaning,United Arab Emirates,4,"Chicago, IL",0.039021460773200074,3.9021460773200074
33,Personal care and cleaning,United Arab Emirates,5,"Cleveland, OH",0.021976380402773547,2.1976380402773548
33,Personal care and cleaning,United Arab Emirates,6,"Dallas-Fort Worth, TX",0.01649219899559558,1.6492198995595582
33,Personal care and cleaning,United Arab Emirates,7,"Los Angeles, CA",0.009217774665750267,0.9217774665750267
33,Personal care and cleaning,United Arab Emirates,8,"Minneapolis, MN",0.007717185023172024,0.7717185023172024
33,Personal care and cleaning,United Arab Emirates,9,"New Orleans, LA",0.006214439889937419,0.621443988993742
33,Personal care and cleaning,United Arab Emirates,10,"Baltimore, MD",0.005366757814798901,0.53667578147989
33,Personal care and cleaning,United Kingdom,1,"New York City, NY",0.591972056460421,59.19720564604209
33,Personal care and cleaning,United Kingdom,2,"Los Angeles, CA",0.06706146050569262,6.706146050569261
33,Personal care and cleaning,United Kingdom,3,"Philadelphia, PA",0.05858349717346015,5.858349717346015
33,Personal care and cleaning,United Kingdom,4,"Chicago, IL",0.05779516461333602,5.779516461333602
33,Personal care and cleaning,United Kingdom,5,"Miami, FL",0.05733549932197106,5.733549932197106
33,Personal care and cleaning,United Kingdom,6,"Cleveland, OH",0.04646627884000626,4.646627884000626
33,Personal care and cleaning,United Kingdom,7,"Wilmington, NC",0.04583304630938582,4.583304630938581
33,Personal care and cleaning,United Kingdom,8,"New Orleans, LA",0.027731374795221128,2.773137479522113
33,Personal care and cleaning,United Kingdom,9,"Charleston, SC",0.027594855412208772,2.759485541220877
33,Personal care and cleaning,United Kingdom,10,"Savannah, GA",0.019626766568297146,1.9626766568297145
33,Personal care and cleaning,Uruguay,1,"Tampa, FL",0.3846026179657696,38.46026179657696
33,Personal care and cleaning,Uruguay,2,"Houston-Galveston, TX",0.381262490644917,38.1262490644917
33,Personal care and cleaning,Uruguay,3,"Miami, FL",0.10748808187308748,10.748808187308748
33,Personal care and cleaning,Uruguay,4,"New York City, NY",0.09201736545076306,9.201736545076306
33,Personal care and cleaning,Uruguay,5,"Savannah, GA",0.025492268490312393,2.5492268490312395
33,Personal care and cleaning,Uruguay,6,"Dallas-Fort Worth, TX",0.008971633883869618,0.8971633883869617
33,Personal care and cleaning,Uruguay,7,"Boston, MA",0.00016554169128090072,0.01655416912809007
33,Personal care and cleaning,Vietnam,1,"Los Angeles, CA",0.49512252255322875,49.51225225532288
33,Personal care and cleaning,Vietnam,2,"New York City, NY",0.1779460355822233,17.79460355822233
33,Personal care and cleaning,Vietnam,3,"Norfolk, VA",0.06816156258763004,6.816156258763003
33,Personal care and cleaning,Vietnam,4,"Seattle, WA",0.054863426269626425,5.486342626962642
33,Personal care and cleaning,Vietnam,5,"Chicago, IL",0.054306656521367354,5.430665652136735
33,Personal care and cleaning,Vietnam,6,"Savannah, GA",0.0515562082045397,5.1556208204539695
33,Personal care and cleaning,Vietnam,7,"San Francisco, CA",0.04080343569311677,4.080343569311677
33,Personal care and cleaning,Vietnam,8,"Cleveland, OH",0.02335766036758771,2.3357660367587707
33,Personal care and cleaning,Vietnam,9,"Houston-Galveston, TX",0.018180024112882238,1.8180024112882238
33,Personal care and cleaning,Vietnam,10,"New Orleans, LA",0.015702468107797702,1.5702468107797702
34,Personal care and cleaning,Belgium,1,"New York City, NY",0.2538876759321044,25.38876759321044
34,Personal care and cleaning,Belgium,2,"Houston-Galveston, TX",0.19688820642817967,19.688820642817966
34,Personal care and cleaning,Belgium,3,"Chicago, IL",0.15814245904644122,15.814245904644123
34,Personal care and cleaning,Belgium,4,"Savannah, GA",0.09300352930413647,9.300352930413647
34,Personal care and cleaning,Belgium,5,"Boston, MA",0.08714510671193958,8.714510671193958
34,Personal care and cleaning,Belgium,6,"Cleveland, OH",0.06769931554455794,6.769931554455794
34,Personal care and cleaning,Belgium,7,"Detroit, MI",0.047993350565062924,4.799335056506292
34,Personal care and cleaning,Belgium,8,"Philadelphia, PA",0.043570004926954745,4.357000492695475
34,Personal care and cleaning,Belgium,9,"Minneapolis, MN",0.028406059219115366,2.8406059219115365
34,Personal care and cleaning,Belgium,10,"San Francisco, CA",0.023264292321507833,2.326429232150783
34,Personal care and cleaning,Canada,1,"Detroit, MI",0.5688263369500096,56.88263369500096
34,Personal care and cleaning,Canada,2,"Buffalo, NY",0.292752458000628,29.275245800062798
34,Personal care and cleaning,Canada,3,"Ogdensburg, NY",0.0439441477141764,4.39441477141764
34,Personal care and cleaning,Canada,4,"Seattle, WA",0.035764769264593065,3.5764769264593066
34,Personal care and cleaning,Canada,5,"Great Falls, MT",0.03454010352033196,3.454010352033196
34,Personal care and cleaning,Canada,6,"Pembina, ND",0.017897002490766575,1.7897002490766576
34,Personal care and cleaning,Canada,7,"Portland, ME",0.002105228986732276,0.2105228986732276
34,Personal care and cleaning,Canada,8,"St. Albans, VT",0.0016568965269237361,0.16568965269237362
34,Personal care and cleaning,Canada,9,"New York City, NY",0.001645772913661648,0.1645772913661648
34,Personal care and cleaning,Canada,10,"Miami, FL",0.0008672836321767273,0.08672836321767273
34,Personal care and cleaning,China,1,"Los Angeles, CA",0.4529938159120708,45.29938159120708
34,Personal care and cleaning,China,2,"New York City, NY",0.14518090465151076,14.518090465151076
34,Personal care and cleaning,China,3,"Savannah, GA",0.08793779119067294,8.793779119067294
34,Personal care and cleaning,China,4,"Seattle, WA",0.062052124339300296,6.205212433930029
34,Personal care and cleaning,China,5,"Chicago, IL",0.05786907603745467,5.786907603745467
34,Personal care and cleaning,China,6,"Houston-Galveston, TX",0.05762429574461965,5.762429574461965
34,Personal care and cleaning,China,7,"Norfolk, VA",0.03889087415989909,3.889087415989909
34,Personal care and cleaning,China,8,"Cleveland, OH",0.03416110077650473,3.416110077650473
34,Personal care and cleaning,China,9,"Charleston, SC",0.031805561161545294,3.1805561161545293
34,Personal care and cleaning,China,10,"San Francisco, CA",0.03148445602642172,3.148445602642172
34,Personal care and cleaning,Colombia,1,"Savannah, GA",0.6055066635884857,60.550666358848574
34,Personal care and cleaning,Colombia,2,"Wilmington, NC",0.13379815958376995,13.379815958376994
34,Personal care and cleaning,Colombia,3,"Miami, FL",0.07500520874018926,7.500520874018926
34,Personal care and cleaning,Colombia,4,"Norfolk, VA",0.04732958339018321,4.732958339018321
34,Personal care and cleaning,Colombia,5,"St. Louis, MO",0.04583725965665937,4.583725965665937
34,Personal care and cleaning,Colombia,6,"New York City, NY",0.03327297934869721,3.327297934869721
34,Personal care and cleaning,Colombia,7,"Charleston, SC",0.022941158127852447,2.2941158127852446
34,Personal care and cleaning,Colombia,8,"Houston-Galveston, TX",0.018606039530121538,1.8606039530121539
34,Personal care and cleaning,Colombia,9,"Cleveland, OH",0.009607441390795045,0.9607441390795045
34,Personal care and cleaning,Colombia,10,"Los Angeles, CA",0.00809550664324632,0.809550664324632
34,Personal care and cleaning,Dominican Republic,1,"Miami, FL",0.6685353345006224,66.85353345006224
34,Personal care and cleaning,Dominican Republic,2,"New York City, NY",0.27903690802851244,27.903690802851244
34,Personal care and cleaning,Dominican Republic,3,"Savannah, GA",0.022748033795485047,2.2748033795485045
34,Personal care and cleaning,Dominican Republic,4,"Houston-Galveston, TX",0.014668190010395333,1.4668190010395332
34,Personal care and cleaning,Dominican Republic,5,"Tampa, FL",0.006196250043117515,0.6196250043117515
34,Personal care and cleaning,Dominican Republic,6,"Philadelphia, PA",0.0043105125209133,0.43105125209133
34,Personal care and cleaning,Dominican Republic,7,"Norfolk, VA",0.0018254301518160205,0.18254301518160204
34,Personal care and cleaning,Dominican Republic,8,"Chicago, IL",0.0009431651824608366,0.09431651824608367
34,Personal care and cleaning,Dominican Republic,9,"Charleston, SC",0.0009191143166016927,0.09191143166016927
34,Personal care and cleaning,Dominican Republic,10,"Los Angeles, CA",0.0008170614500754169,0.0817061450075417
34,Personal care and cleaning,France,1,"New York City, NY",0.6995920879560126,69.95920879560126
34,Personal care and cleaning,France,2,"Cleveland, OH",0.0801498078038779,8.01498078038779
34,Personal care and cleaning,France,3,"Chicago, IL",0.04467062538166585,4.467062538166585
34,Personal care and cleaning,France,4,"Houston-Galveston, TX",0.03929067377557389,3.9290673775573888
34,Personal care and cleaning,France,5,"Charleston, SC",0.028303082627145638,2.830308262714564
34,Personal care and cleaning,France,6,"Philadelphia, PA",0.02542148849278084,2.542148849278084
34,Personal care and cleaning,France,7,"Detroit, MI",0.025025673039848775,2.5025673039848777
34,Personal care and cleaning,France,8,"Wilmington, NC",0.02156695047628241,2.156695047628241
34,Personal care and cleaning,France,9,"Los Angeles, CA",0.019709206174498776,1.9709206174498777
34,Personal care and cleaning,France,10,"Norfolk, VA",0.01627040427231328,1.627040427231328
34,Personal care and cleaning,Germany,1,"New York City, NY",0.22109948306084404,22.109948306084405
34,Personal care and cleaning,Germany,2,"Charleston, SC",0.1542964835188245,15.429648351882449
34,Personal care and cleaning,Germany,3,"Chicago, IL",0.11876299261976339,11.876299261976339
