HS2,HS2 Description,Rank,Country of Origin,BaselineShare,BaselineSharePct,Old Tariff,Old TariffPct
33,Personal care and cleaning,1,France,0.22664926777048386,22.664926777048386,0.0754624090873829,7.54624090873829
33,Personal care and cleaning,2,Ireland,0.20692186887598385,20.692186887598385,0.05137812803310005,5.1378128033100054
33,Personal care and cleaning,3,Canada,0.10923241168077569,10.923241168077569,0.0107455207532889,1.07455207532889
33,Personal care and cleaning,4,Italy,0.10006233393857868,10.006233393857867,0.08377592293677112,8.377592293677113
33,Personal care and cleaning,5,Mexico,0.09206953738302476,9.206953738302476,0.006891928936121487,0.6891928936121487
33,Personal care and cleaning,6,"Korea, South",0.08766149714114423,8.766149714114423,0.07833959641437206,7.833959641437207
33,Personal care and cleaning,7,China,0.06584433334663999,6.5844333346639985,0.4496855320881404,44.968553208814036
33,Personal care and cleaning,8,Spain,0.05093823275789953,5.093823275789953,0.0779207543057204,7.79207543057204
33,Personal care and cleaning,9,United Kingdom,0.031093241052580607,3.109324105258061,0.07338552016068738,7.338552016068737
33,Personal care and cleaning,10,India,0.029527276052888782,2.952727605288878,0.13599196391180882,13.599196391180882
34,Personal care and cleaning,1,Canada,0.22814742972502083,22.814742972502085,0.005079902009600339,0.5079902009600339
34,Personal care and cleaning,2,Mexico,0.2082908373907315,20.829083739073152,0.0016191506929149997,0.16191506929149996
34,Personal care and cleaning,3,China,0.14149998527936145,14.149998527936145,0.3155294717599844,31.55294717599844
34,Personal care and cleaning,4,Vietnam,0.12870279901932638,12.870279901932639,0.11150177111162336,11.150177111162336
34,Personal care and cleaning,5,Germany,0.09784981832888098,9.784981832888098,0.09573445782674134,9.573445782674133
34,Personal care and cleaning,6,"Korea, South",0.048770157985223654,4.877015798522366,0.0691213250575109,6.91213250575109
34,Personal care and cleaning,7,Japan,0.041241917378539585,4.124191737853958,0.09158917305006603,9.158917305006604
34,Personal care and cleaning,8,France,0.03688559140670316,3.688559140670316,0.08082982861651669,8.082982861651669
34,Personal care and cleaning,9,India,0.035088547228929394,3.508854722892939,0.12675016677046963,12.675016677046964
34,Personal care and cleaning,10,United Kingdom,0.03352291625728308,3.3522916257283075,0.0864972397484787,8.64972397484787
39,Plastics and articles thereof,1,China,0.316561746533354,31.656174653335402,0.33556469556961693,33.556469556961694
39,Plastics and articles thereof,2,Canada,0.2298462795098763,22.98462795098763,0.005011337038170445,0.5011337038170446
39,Plastics and articles thereof,3,Mexico,0.13512929763240594,13.512929763240594,0.012975527028914982,1.2975527028914982
39,Plastics and articles thereof,4,"Korea, South",0.07018133818276343,7.018133818276342,0.070986777285849,7.098677728584899
39,Plastics and articles thereof,5,Germany,0.06336941963240728,6.336941963240728,0.09683554950031058,9.683554950031057
39,Plastics and articles thereof,6,Vietnam,0.05383658278644171,5.383658278644171,0.1383968613497868,13.83968613497868
39,Plastics and articles thereof,7,Taiwan,0.04604513974736665,4.604513974736665,0.12164500920882969,12.164500920882968
39,Plastics and articles thereof,8,Japan,0.04203317668960398,4.2033176689603975,0.092352895659131,9.235289565913101
39,Plastics and articles thereof,9,Thailand,0.02307939784265673,2.307939784265673,0.11734780624213074,11.734780624213075
39,Plastics and articles thereof,10,India,0.019917621443124107,1.9917621443124107,0.16416310270825965,16.416310270825964
48,Paper goods and printed materials,1,Canada,0.43284657015294203,43.2846570152942,0.0024304945525130874,0.24304945525130875
48,Paper goods and printed materials,2,China,0.16198646832463767,16.198646832463766,0.40184718949071496,40.184718949071495
48,Paper goods and printed materials,3,Mexico,0.10303222207250302,10.303222207250302,0.01499390069715143,1.499390069715143
48,Paper goods and printed materials,4,Germany,0.06437826498838076,6.437826498838076,0.08430393462430207,8.430393462430207
48,Paper goods and printed materials,5,Finland,0.06328210895290826,6.328210895290826,0.07468071550442446,7.4680715504424455
48,Paper goods and printed materials,6,Vietnam,0.04741583498673907,4.741583498673907,0.10189081174922794,10.189081174922794
48,Paper goods and printed materials,7,"Korea, South",0.04053056227538126,4.053056227538126,0.05900710988122752,5.900710988122752
48,Paper goods and printed materials,8,Indonesia,0.030859841477820105,3.0859841477820105,0.08577097852388815,8.577097852388816
48,Paper goods and printed materials,9,Sweden,0.030108759681629394,3.0108759681629396,0.07195884649992226,7.195884649992227
